                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.88302,                0.84942,                 1.0529,                0.99375,                      1,                  0.995,                0.62017,                 1.3205,                 1.1304,                 1.4906,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.8647,                0.82519,                  1.054,                0.99355,                      1,                  0.995,                0.64781,                 1.2682,                 1.1001,                 1.4005,              0.0005744,              0.0005744,              0.0005744
                     74,                0.92202,                0.88067,                 1.0771,                0.99355,                      1,                  0.995,                0.64781,                 1.2682,                 1.1001,                 1.4005,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.8657,                0.93718,                 1.1157,                 0.9949,                      1,                  0.995,                0.68827,                 1.1667,                 1.0434,                 1.2734,              0.0005348,              0.0005348,              0.0005348
                     76,                0.84474,                0.92013,                 1.0783,                 0.9949,                      1,                  0.995,                0.68827,                 1.1667,                 1.0434,                 1.2734,               0.000515,               0.000515,               0.000515
                     77,                0.74937,                0.84773,                 1.0298,                 0.9937,                      1,                  0.995,                0.69503,                  1.242,                 1.0344,                 1.3274,              0.0004952,              0.0004952,              0.0004952
                     78,                0.80382,                0.81688,                 1.0615,                 0.9937,                      1,                  0.995,                0.69503,                  1.242,                 1.0344,                 1.3274,              0.0004754,              0.0004754,              0.0004754
                     79,                0.89143,                0.89887,                 1.1067,                0.99108,                      1,                  0.995,                0.66379,                 1.2622,                0.99121,                 1.3552,              0.0004556,              0.0004556,              0.0004556
                     80,                0.75388,                0.76186,                0.98213,                0.99108,                      1,                  0.995,                0.66379,                 1.2622,                0.99121,                 1.3552,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.6584,                0.80131,                  1.014,                0.99205,                      1,                  0.995,                0.66894,                 1.2609,                0.96871,                 1.3542,               0.000416,               0.000416,               0.000416
                     82,                0.82692,                0.78119,                 1.0077,                0.99205,                      1,                  0.995,                0.66894,                 1.2609,                0.96871,                 1.3542,              0.0003962,              0.0003962,              0.0003962
                     83,                0.74194,                0.74093,                0.99333,                0.99318,                      1,                  0.995,                0.68208,                 1.2405,                0.96005,                 1.3489,              0.0003764,              0.0003764,              0.0003764
                     84,                0.82986,                0.81638,                 1.0714,                0.99318,                      1,                  0.995,                0.68208,                 1.2405,                0.96005,                 1.3489,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.7497,                0.74302,                0.97568,                0.99368,                      1,                  0.995,                0.67507,                 1.2392,                0.93775,                 1.3628,              0.0003368,              0.0003368,              0.0003368
                     86,                0.79569,                0.79794,                 1.0399,                0.99368,                      1,                  0.995,                0.67507,                 1.2392,                0.93775,                 1.3628,               0.000317,               0.000317,               0.000317
                     87,                0.59458,                  0.737,                0.96962,                0.99398,                      1,                  0.995,                0.67529,                 1.2648,                0.92853,                 1.3807,              0.0002972,              0.0002972,              0.0002972
                     88,                  0.646,                0.75623,                0.96827,                0.99398,                      1,                  0.995,                0.67529,                 1.2648,                0.92853,                 1.3807,              0.0002774,              0.0002774,              0.0002774
                     89,                0.74566,                0.83789,                 1.0419,                0.99418,                      1,                  0.995,                0.68202,                 1.2796,                0.92694,                 1.3807,              0.0002576,              0.0002576,              0.0002576
                     90,                0.73169,                  0.805,                 1.0173,                0.99418,                      1,                  0.995,                0.68202,                 1.2796,                0.92694,                 1.3807,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.5708,                0.78068,                0.96562,                0.99402,                      1,                  0.995,                 0.6691,                 1.2743,                0.96479,                 1.3586,               0.000218,               0.000218,               0.000218
                     92,                 0.5158,                0.80148,                0.90029,                0.99402,                      1,                  0.995,                 0.6691,                 1.2743,                0.96479,                 1.3586,              0.0001982,              0.0001982,              0.0001982
                     93,                0.49413,                0.83535,                0.93313,                0.99393,                      1,                  0.995,                0.68095,                 1.2634,                0.96779,                 1.3492,              0.0001784,              0.0001784,              0.0001784
                     94,                0.53867,                0.77205,                0.92811,                0.99393,                      1,                  0.995,                0.68095,                 1.2634,                0.96779,                 1.3492,              0.0001586,              0.0001586,              0.0001586
                     95,                0.51629,                0.73439,                0.91507,                0.99396,                      1,                  0.995,                0.68858,                 1.2459,                 0.9678,                 1.3378,              0.0001388,              0.0001388,              0.0001388
                     96,                0.51241,                0.77212,                0.91648,                0.99396,                      1,                  0.995,                0.68858,                 1.2459,                 0.9678,                 1.3378,               0.000119,               0.000119,               0.000119
                     97,                0.53884,                0.75014,                0.88627,                0.99368,                      1,                  0.995,                0.69349,                 1.2463,                0.95036,                 1.3437,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.54329,                0.80256,                0.89703,                0.99368,                      1,                  0.995,                0.69349,                 1.2463,                0.95036,                 1.3437,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.50879,                0.75656,                0.87803,                0.99349,                      1,                  0.995,                0.67813,                 1.2464,                0.95963,                 1.3528,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.54225,                0.75852,                0.88331,                0.99349,                      1,                  0.995,                0.67813,                 1.2464,                0.95963,                 1.3528,               3.98e-05,               3.98e-05,               3.98e-05
